Title,Author,Book_Ref,Class_Code,Imprint,Publisher_Group,Rank,Volume,RRP,ASP,Binding,Pub_Date
10th Anniversary,Patterson; James,10276,GL002F,Decade,Fletchers Green Group,987,17081,18.99,9.73,Hardback,17/03/2009
10th Anniversary,Patterson; James,11323,CE003F,Decade,Fletchers Green Group,2248,10096,12.99,10.28,Paperback,16/03/2011
11 22 63,King; Stephen,10199,GL002F,Sinclair & White Ltd,Sinclair Books,40,31431,19.99,10.33,Hardback,08/11/2011
1Q84 Book 3 (Book 3),Murakami; Haruki,10866,GL002F,Harvey Secker,Fletchers Green Group,1109,15975,14.99,9.34,Hardback,25/10/2011
1Q84 Books 1 and 2 (Books 1 and 2),Murakami; Haruki,10416,GL002F,Harvey Secker,Fletchers Green Group,19,31892,20,12.31,Hardback,18/10/2011
1st to Die,Patterson; James,12040,CE003F,Deadline Book Publishing,Deadline Group,3991,6549,7.99,6.55,Paperback,19/03/2009
206 Bones,Reichs; Kathy,11305,CE003F,Quiver Books,Fletchers Green Group,2206,10221,7.99,5.57,Paperback,13/05/2010
31 Bond Street,Horan; Ellen,11863,CE003F,Green Door,Collin Turner Group,3550,7189,7.99,5.8,Paperback,03/02/2011
44 Charles Street,Steel; Danielle,10485,GL002F,Poultry Press,Transformation Group,188,27780,18.99,10.25,Hardback,17/03/2008
44 Charles Street,Steel; Danielle,11624,GL002F,Poultry Press,Transformation Group,2972,8275,12.99,10.74,Paperback,01/03/2011
61 Hours Jack Reacher,Child; Lee,10195,CE003F,Poultry Books,Transformation Group,1874,11375,7.99,5.13,Paperback,02/09/2010
74 Seaside Avenue Mia,Macomber; Debbie,11375,GL002F,Mia Books,Harley Quin (UK) Ltd Group,2398,9674,7.99,5.5,Paperback,18/02/2011
8 Sandpiper Way A Cedar Cove Story,Macomber; Debbie,12077,GL002F,Mia Books,Harley Quin (UK) Ltd Group,4082,6394,7.99,6.22,Paperback,18/03/2011
8th Confession,Patterson; James,11348,GL002F,Quiver Books,Fletchers Green Group,2331,9840,7.99,5.23,Paperback,18/03/2010
92 Pacific Boulevard A Cedar Cove Story,Macomber; Debbie,12279,GL002F,Mia Books,Harley Quin (UK) Ltd Group,4583,5839,7.99,6.33,Paperback,15/04/2011
9th Judgement,Patterson; James,10041,CE003F,Quiver Books,Fletchers Green Group,1382,13755,7.99,4.69,Paperback,31/03/2011
Abandon,Cabot; Meg,11419,YT014F,Millen Childrens Books,Panda Millen Group,2503,9407,9.99,6.91,Paperback,07/05/2011
ABC Animal Rhymes for You and Me,Wojtowycz; David & Andreae; Giles,11253,EG004F,Mistletow Books,Sinclair Books,2062,10736,5.99,4.06,Paperback,02/09/2010
ABC Sticker Book Osborne Sticker Books,Taplin; Sam,11674,EG004F,Osborne Publishing Ltd,Osborne Group,3097,8026,4.99,4.14,Hardback,26/09/2008
About Last Night,Parks; Adele,11984,GL002F,Deadline Review,Deadline Group,3862,6735,14.99,8.89,Hardback,23/06/2011
Accident; The,Barclay; Linwood,10619,CE003F,Constellation,Shallot Group,537,22149,14.99,8.47,Hardback,01/09/2011
Accidental Proposal; The,Dunn; Matt,10780,GL002F,Gary & Balding Ltd,Gary & Balding Group,903,17930,6.99,4.6,Paperback,17/02/2011
Accused,Gimenez; Mark,10376,CE003F,Ellipses,Large Red Book Company,56,31171,6.99,4.77,Paperback,14/01/2011
Accused; The,Briscoe; Constance,11133,CE003F,Edmunds Press,Fletchers Green Group,1738,12111,6.99,4.37,Paperback,18/08/2011
Adrian Mole The Prostrate Years,Townsend; Sue,12024,GL002F,Emu Books,Emu Group,3951,6611,7.99,6.42,Paperback,05/08/2010
Adventures of Ook and Gluk Kung-Fu Cavemen from the Future; The,Pilkey; Dav,11743,CN001F,Solar,Solar Group Ltd,3267,7704,5.99,4.89,Paperback,05/05/2011
Adventures of the Wishing-chair; The,Blyton; Enid,11879,CN001F,Ravenglass Books,Egburt Books Group,3588,7129,4.99,4.31,Paperback,05/05/2008
Affair; The,Child; Lee,10981,CE003F,Poultry Press,Transformation Group,1351,14024,13.99,11.43,Paperback,29/09/2011
Affair; The Jack Reacher,Child; Lee,10094,CE003F,Poultry Press,Transformation Group,1378,13801,18.99,9.88,Hardback,21/05/2011
Afrika Reich; The,Saville; Guy,11472,CE003F,Sinclair Paperback,Sinclair Books,2618,9095,6.99,4.35,Paperback,15/09/2011
After the Party,Jewell; Lisa,10393,GL002F,Quiver Books,Fletchers Green Group,4796,5633,7.99,5.2,Paperback,14/04/2011
After the Storm Tales from Percy's Park,Butterworth; Nick,11343,PS008F,Collin,Collin Turner Group,2298,9878,6.99,4.89,Paperback,04/08/2003
After Their Vows Jacquard & Babbage Modern,Reid; Michelle,12042,RE009F,Jacquard & Babbage,Harley Quin (UK) Ltd Group,3997,6545,3.3,3.1,Paperback,18/03/2011
After You'd Gone,O'Farrell; Maggie,11693,GL002F,Deadline Review,Deadline Group,3140,7935,7.99,6.27,Paperback,05/04/2001
Aftershock H.I.V.E,Walden; Mark,11608,CN001F,Boe Publishing PLC,Boe Bells Group,2946,8359,6.99,5.08,Paperback,01/08/2011
Afterwards,Lupton; Rosamund,10064,GL002F,Plato Books,Large Red Book Company,1050,16279,7.99,5.19,Paperback,09/06/2011
Against All Enemies,Clancy; Tom,10630,CE003F,Frank Jepson,Emu Group,563,21847,20,11,Hardback,14/06/2009
Against All Enemies,Clancy; Tom,11331,CE003F,Frank Jepson,Emu Group,2272,10032,17.65,12.38,Paperback,14/06/2011
Agatha Raisin and the Busy Body Agatha Raisin,Beaton; M C,11454,CE003F,Robin Publishing,PC Reubens Group,2588,9198,6.99,5.65,Paperback,21/04/2011
Age of Darkness; The Horus Heresy,Christian Dunn,10941,SN010F,Read Duck Library,Read Duck Library Group,1260,14769,7.99,6.35,Paperback,12/05/2011
Agent 21,Ryan; Chris,11510,YT014F,Black Squirrel,Fletchers Green Group,2715,8857,5.99,5.04,Paperback,06/01/2011
Agent 6,Smith; Tom Rob,11340,CE003F,Gary & Balding Ltd,Gary & Balding Group,2292,9910,16.99,10.33,Hardback,07/07/2011
Alchemist; The A Fable About Following Your Dream,Coelho; Paulo,10471,GL002F,Tiu,Collin Turner Group,164,28293,7.99,6.17,Paperback,03/01/1998
Aleph,Coelho; Paulo,11574,GL002F,Hyperturner Publishers,Collin Turner Group,2865,8527,14.99,9.65,Hardback,01/09/2011
Alesha the Acrobat Fairy Rainbow Magic,Meadows; Daisy,11716,CN001F,Mistletow Books,Sinclair Books,3212,7859,3.99,2.76,Paperback,07/04/2011
Alessandro's Prize Jacquard & Babbage Modern,Bianchin; Helen,12003,RE009F,Jacquard & Babbage,Harley Quin (UK) Ltd Group,3907,6692,3.3,2.91,Paperback,20/05/2011
Alex Cross Trial,Patterson; James,10787,CE003F,Quiver Books,Fletchers Green Group,920,17714,7.99,5.41,Paperback,30/09/2010
Aliens in Underpants Save the World,Freedman; Claire,10547,PS008F,Gary & Balding Childrens Books,Gary & Balding Group,350,24915,5.99,4.11,Paperback,19/05/2009
Aliens Love Panta Claus,Freedman; Claire,10685,PS008F,Gary & Balding Childrens Books,Gary & Balding Group,695,20276,5.99,4.08,Paperback,01/10/2010
Aliens Love Underpants!,Freedman; Claire,10323,PS008F,Gary & Balding Childrens Books,Gary & Balding Group,1797,11876,5.99,3.98,Paperback,08/05/2007
All for You,O'Flanagan; Sheila,12083,GL002F,Deadline Review,Deadline Group,4096,6381,14.99,8.92,Hardback,12/04/2010
All for You,O'Flanagan; Sheila,12357,GL002F,Deadline Review,Deadline Group,4763,5649,13.99,9.94,Paperback,07/07/2011
All Quiet on the Western Front,Remarque; Erich Maria,11379,WR012F,Antique Classics,Fletchers Green Group,2407,9625,7.99,6.28,Paperback,03/01/1998
All the Days of Our Lives,Murray; Annie,10321,RE009F,Panda Books,Panda Millen Group,1512,13046,6.99,4.52,Paperback,06/05/2011
All the Pretty Girls A Taylor Jackson Thriller,Ellison; J T,12245,CE003F,Mia Books,Harley Quin (UK) Ltd Group,4507,5905,6.99,3.82,Paperback,17/06/2011
All Together Dead A True Blood Novel,Harris; Charlaine,11589,SN010F,Gollileth,Shallot Group,2906,8433,7.99,5.64,Paperback,09/07/2009
Alone in Berlin,Fallada; Hans,10224,GL002F,Emu Classics,Emu Group,1599,12704,9.99,7.58,Paperback,28/01/2010
Alone on a Wide Wide Sea,Morpurgo; Michael,11131,CN001F,Hyperturner Childrens Books,Collin Turner Group,1732,12141,6.99,5.61,Paperback,04/06/2007
Along Came a Spider,Patterson; James,11860,CE003F,Hyperturner Publishers,Collin Turner Group,3543,7195,7.99,3.73,Paperback,01/01/1995
Amazing Mrs Pepperpot; The,Proysen; Alf,10873,CN001F,Black Squirrel,Fletchers Green Group,1122,15806,5.99,4.37,Paperback,03/02/2011
Amazing Story of Adolphus Tips; The,Morpurgo; Michael,10858,CN001F,Hyperturner Childrens Books,Collin Turner Group,1074,16067,5.99,4.93,Paperback,06/02/2006
Amazonia,Rollins; James,11791,CE003F,Constellation,Shallot Group,3372,7478,6.99,4.4,Paperback,01/07/2011
Ambassador's Mission; The Traitor Spy Trilogy,Canavan; Trudi,10615,SN010F,Spinning,Large Red Book Company,530,22253,7.99,6.36,Paperback,06/11/2010
Amber the Orange Fairy Rainbow Magic,Meadows; Daisy,11702,CN001F,Mistletow Books,Sinclair Books,3162,7902,4.99,3.16,Paperback,29/05/2003
Amelia the Singing Fairy Rainbow Magic,Meadows; Daisy,10986,CN001F,Mistletow Books,Sinclair Books,1372,13905,3.99,2.9,Paperback,07/04/2011
American Assassin,Flynn; Vince,10259,CE003F,Gary & Balding Ltd,Gary & Balding Group,2519,9371,6.99,4.2,Paperback,26/05/2011
American Gods,Gaiman; Neil,10864,GL002F,Deadline Review,Deadline Group,1096,16014,7.99,6.52,Paperback,19/09/2005
American Wife,Sittenfeld; Curtis,11815,GL002F,Read Duck,Transformation Group,3435,7395,7.99,6.82,Paperback,07/03/2009
Among Thieves A Tale of the Kin,Hulick; Douglas,11683,SN010F,Cai,Panda Millen Group,3118,7980,7.99,6.15,Paperback,01/04/2011
And the Land Lay Still,Robertson; James,11080,GL002F,Emu Books,Emu Group,1596,12712,9.99,8.14,Paperback,02/06/2011
And Then it Happened,Green; Linda,11384,GL002F,Deadline Review,Deadline Group,2418,9602,6.99,4.01,Paperback,13/10/2011
And Thereby Hangs A Tale,Archer; Jeffrey,11074,SY011F,Panda Books,Panda Millen Group,1584,12722,7.99,6.02,Paperback,05/11/2010
Angel,Weatherly; LA,11054,YT014F,Osborne Publishing Ltd,Osborne Group,1531,12977,7.99,6.92,Paperback,01/10/2010
Angel Fire,Weatherly; LA,11623,YT014F,Osborne Publishing Ltd,Osborne Group,2971,8291,7.99,6.43,Paperback,01/10/2011
Angelica Sprocket's Pockets,Blake; Quentin,11882,PS008F,Black Squirrel Picture Books,Fletchers Green Group,3601,7124,5.99,5.51,Paperback,01/09/2011
Angelina and the Royal Wedding,Holabird; Katharine,11496,PS008F,Peacote Books,Emu Group,2681,8954,6.99,6.33,Paperback,01/04/2010
Angelology,Trussoni; Danielle,10145,GL002F,Emu Books,Emu Group,4832,4873,6.99,4.74,Paperback,17/02/2011
Angels,Keyes; Marian,11527,GL002F,Emu Books,Emu Group,2758,8782,7.99,5.48,Paperback,14/04/2003
Angels And Demons,Brown; Dan,12204,CE003F,Knine Books,Transformation Group,4383,6038,7.99,6.81,Paperback,28/08/2009
Angels at Christmas,Macomber; Debbie,10646,RE009F,Mia Books,Harley Quin (UK) Ltd Group,595,21393,7.99,4.56,Paperback,21/10/2011
Angel's Game; The,Zafon; Carlos Ruiz,10893,GL002F,Stella,Shallot Group,1161,15554,7.99,6.4,Paperback,29/04/2010
Animal Farm,Orwell; George,10784,GL002F,Emu Books,Emu Group,910,17838,8.99,5.6,Paperback,03/07/2008
Animal Farm A Fairy Story,Orwell; George,10849,GL002F,Emu Books,Emu Group,1057,16237,8.99,7.6,Paperback,24/02/2000
Anna Karenina,Tolstoy; Leo,12126,GL002F,Emu Books,Emu Group,4222,6234,9.99,8.79,Paperback,30/01/2003
Anne of Green Gables Centenary Edition,Montgomery; L M,12155,CN001F,Peacote Books,Emu Group,4295,6176,6.99,6.51,Paperback,05/03/2009
Anno Dracula,Newman; Kim,11066,SN010F,Europa Books,Europa Books Group,1562,12798,7.99,6.3,Paperback,27/05/2011
Any Human Heart,Boyd; William,10956,GL002F,Emu Books,Emu Group,1284,14531,7.99,6.02,Paperback,11/11/2010
Any Human Heart,Boyd; William,11169,GL002F,Emu Books,Emu Group,1838,11603,8.99,7.76,Hardback,26/10/2009
Any Man of Mine,Gibson; Rachel,11949,GL002F,Knine Books,Transformation Group,3775,6837,5.99,4.34,Paperback,12/05/2011
